Date,BAC,ORCL,NOK,MSFT,YOJ.SG,GOOG,AAPL,TSLA,FB,NFLX,AMZN
2020/1/22,34.360001,54.720001,4.09,165.699997,3.66,1485.949951,317.700012,569.559998,221.320007,326,1887.459961
2020/1/23,34.119999,54.98,4.06,166.720001,3.72,1486.650024,319.230011,572.200012,219.759995,349.600006,1884.579956
2020/1/24,33.540001,54.07,4.05,165.039993,3.64,1466.709961,318.309998,564.820007,217.940002,353.160004,1861.640015
2020/1/27,32.849998,52.689999,3.94,162.279999,3.64,1433.900024,308.950012,558.02002,214.869995,342.880005,1828.339966
2020/1/28,33.240002,53.459999,4.02,165.460007,3.68,1452.560059,317.690002,566.900024,217.789993,348.519989,1853.25
2020/1/29,33.009998,53.200001,3.91,168.039993,3.6,1458.630005,324.339996,580.98999,223.229996,343.160004,1858
2020/1/30,33.48,53.310001,3.96,172.779999,3.6,1455.839966,323.869995,640.809998,209.529999,347.73999,1870.680054
2020/1/31,32.830002,52.450001,3.88,170.229996,3.48,1434.22998,309.51001,650.570007,201.910004,345.089996,2008.719971
2020/2/3,32.970001,53.09,3.88,174.380005,3.44,1485.939941,308.660004,780,204.190002,358,2004.199951
2020/2/4,33.619999,54.040001,3.96,180.119995,3.44,1447.069946,318.850006,887.059998,209.830002,369.01001,2049.669922
2020/2/5,34.709999,54.740002,4.03,179.899994,3.64,1448.22998,321.450012,734.700012,210.110001,369.670013,2039.869995
2020/2/6,34.669998,54.709999,4.2,183.630005,3.58,1476.22998,325.209991,748.960022,210.850006,366.950012,2050.22998
2020/2/7,34.610001,54.720001,4.37,183.889999,3.64,1479.22998,320.029999,748.070007,212.330002,366.769989,2079.280029
2020/2/10,34.689999,54.990002,4.26,188.699997,3.66,1508.680054,321.549988,771.280029,213.059998,371.070007,2133.909912
2020/2/11,34.77,55.150002,4.41,184.440002,3.72,1508.790039,319.609985,774.380005,207.190002,373.690002,2150.800049
2020/2/12,34.919998,55.73,4.41,184.710007,3.74,1518.27002,327.200012,767.289978,210.759995,380.01001,2160
2020/2/13,34.91,55.310001,4.34,183.710007,3.76,1514.660034,324.869995,804,213.139999,381.399994,2149.870117
2020/2/14,34.849998,55.470001,4.33,185.350006,3.72,1520.73999,324.950012,800.030029,214.179993,380.399994,2134.870117
2020/2/18,34.27,55.450001,4.25,187.229996,3.6,1519.670044,319,858.400024,217.800003,387.779999,2155.669922
2020/2/19,34.720001,55.439999,4.2,187.279999,3.58,1526.689941,323.619995,917.419983,217.490005,386.190002,2170.219971
2020/2/20,34.849998,55.509998,4.16,184.419998,3.48,1518.150024,320.299988,899.409973,214.580002,386,2153.100098
2020/2/21,34.360001,54.68,4.16,178.589996,3.62,1485.109985,313.049988,901,210.179993,380.070007,2095.969971
2020/2/24,32.73,52.650002,4.02,170.889999,3.62,1421.589966,298.179993,833.789978,200.720001,368.700012,2009.290039
2020/2/25,31.08,50.959999,3.91,168.070007,3.56,1388.449951,288.079987,799.909973,196.770004,360.089996,1972.73999
2020/2/26,30.629999,52.049999,4.15,170.169998,3.52,1393.180054,292.649994,778.799988,197.199997,379.23999,1979.589966
2020/2/27,29.129999,50.779999,3.96,158.179993,3.38,1318.089966,273.519989,679,189.75,371.709991,1884.300049
2020/2/28,28.5,49.459999,3.87,162.009995,3.2,1339.329956,273.359985,667.98999,192.470001,369.029999,1883.75
2020/3/2,29.370001,50.900002,3.93,172.789993,3.42,1389.109985,298.809998,743.619995,196.440002,381.049988,1953.949951
2020/3/3,27.75,48.849998,3.79,164.509995,3.4,1341.390015,289.320007,745.51001,185.889999,368.769989,1908.98999
2020/3/4,28.389999,50.540001,3.86,170.550003,3.3,1386.52002,302.73999,749.5,191.759995,383.790009,1975.829956
2020/3/5,26.780001,48,3.66,166.270004,3.26,1319.040039,292.920013,724.539978,185.169998,372.779999,1924.030029
2020/3/6,25.709999,47.369999,3.57,161.570007,3.26,1298.410034,289.029999,703.47998,181.089996,368.970001,1901.089966
2020/3/9,21.93,46.009998,3.31,150.619995,3,1215.560059,266.170013,608,169.5,346.48999,1800.609985
